#
#  Z   A s fl     Mexp      Err       Mth    beta2   beta4     rhon     rn       an       rhop     rp       ap   
#                [MeV]     [MeV]     [MeV]                    [fm-3]   [fm]     [fm]     [fm-3]   [fm]     [fm]  
#-----------------------------------------------------------------------------------------------------------------
   0   1 n  2     8.071     0.000                                                                                
  48 151 Cd 0                        67.560   0.290   0.060   0.0996   6.0207   0.6888   0.0551   5.7998   0.4780
  48 152 Cd 0                        74.160   0.320   0.070   0.0996   6.0392   0.6896   0.0547   5.8111   0.4781
  48 153 Cd 0                        81.660   0.310   0.060   0.0996   6.0607   0.6897   0.0544   5.8244   0.4776
  48 154 Cd 0                        88.850   0.300   0.040   0.0998   6.0744   0.6931   0.0541   5.8333   0.4783
  48 155 Cd 0                        96.690   0.250   0.010   0.0999   6.0930   0.6944   0.0538   5.8451   0.4781
  48 156 Cd 0                       103.700   0.260   0.030   0.1001   6.1079   0.6974   0.0536   5.8557   0.4783
  48 157 Cd 0                       111.640   0.260   0.030   0.1001   6.1281   0.6971   0.0532   5.8681   0.4777
  48 158 Cd 0                       118.860   0.210  -0.010   0.1003   6.1427   0.7004   0.0530   5.8782   0.4780
  48 159 Cd 0                       127.160   0.200  -0.010   0.1003   6.1649   0.6982   0.0526   5.8914   0.4770
  48 160 Cd 0                       134.080   0.190   0.000   0.1004   6.1787   0.7019   0.0524   5.9009   0.4774
  48 161 Cd 0                       142.070   0.170   0.010   0.1003   6.2054   0.6968   0.0521   5.9144   0.4763
  48 162 Cd 0                       149.520   0.170   0.000   0.1006   6.2162   0.7017   0.0518   5.9239   0.4765
  48 163 Cd 0                       157.490   0.160   0.000   0.1005   6.2390   0.6990   0.0515   5.9371   0.4754
  49  88 In 0                        31.070   0.000   0.000   0.0779   4.7357   0.5325   0.0815   5.0722   0.5108
  49  89 In 0                        20.130   0.000   0.000   0.0790   4.7548   0.5325   0.0810   5.0835   0.5082
  49  90 In 0                        10.260  -0.060   0.000   0.0762   4.8670   0.5247   0.0806   5.0950   0.5044
  49  91 In 0                         0.880   0.000   0.000   0.0769   4.8922   0.5252   0.0802   5.1059   0.5009
  49  92 In 0                        -8.640   0.060  -0.010   0.0776   4.9177   0.5248   0.0798   5.1172   0.4973
  49  93 In 0                       -18.340   0.060  -0.010   0.0777   4.9711   0.5000   0.0795   5.1282   0.4938
  49  94 In 0                       -25.920   0.060   0.000   0.0782   5.0040   0.4942   0.0788   5.1487   0.4867
  49  95 In 0                       -35.190   0.070  -0.010   0.0787   5.0401   0.4826   0.0780   5.1670   0.4867
  49  96 In 0                       -41.900   0.080  -0.010   0.0793   5.0660   0.4788   0.0772   5.1852   0.4867
  49  97 In 1   -47.003     0.596   -50.190   0.070  -0.010   0.0800   5.0904   0.4760   0.0772   5.2032   0.4551
  49  98 In 1   -53.896     0.196   -56.100   0.070  -0.020   0.0807   5.1129   0.4731   0.0764   5.2212   0.4551
  49  99 In 1   -61.274     0.401   -61.980   0.000   0.000   0.0813   5.1361   0.4704   0.0770   5.1932   0.4761
  49 100 In 2   -64.170     0.249   -65.650   0.060   0.020   0.0822   5.1438   0.4846   0.0767   5.2029   0.4776
  49 101 In 1   -68.614     0.298   -69.700   0.070  -0.030   0.0823   5.1755   0.4867   0.0758   5.2244   0.4758
  49 102 In 2   -70.709     0.112   -71.250   0.090   0.000   0.0830   5.1902   0.4958   0.0753   5.2370   0.4761
  49 103 In 2   -74.599     0.025   -74.940   0.100   0.010   0.0833   5.2162   0.4989   0.0746   5.2547   0.4749
  49 104 In 2   -76.107     0.085   -76.170   0.110   0.010   0.0838   5.2348   0.5048   0.0740   5.2687   0.4746
  49 105 In 2   -79.481     0.017   -79.260   0.120   0.000   0.0842   5.2573   0.5089   0.0734   5.2843   0.4738
  49 106 In 2   -80.606     0.012   -80.000   0.170   0.030   0.0845   5.2807   0.5116   0.0728   5.3003   0.4728
  49 107 In 2   -83.560     0.011   -83.010   0.170   0.000   0.0850   5.2984   0.5173   0.0723   5.3133   0.4726
  49 108 In 2   -84.116     0.010   -83.390   0.160   0.000   0.0855   5.3174   0.5222   0.0717   5.3280   0.4719
  49 109 In 2   -86.489     0.006   -85.950   0.160  -0.020   0.0860   5.3318   0.5295   0.0712   5.3417   0.4714
  49 110 In 2   -86.475     0.012   -86.060   0.150  -0.030   0.0867   5.3398   0.5418   0.0707   5.3552   0.4710
  49 111 In 2   -88.396     0.005   -87.840   0.160  -0.020   0.0871   5.3592   0.5453   0.0702   5.3695   0.4701
  49 112 In 2   -87.996     0.005   -87.220   0.140  -0.040   0.0876   5.3742   0.5516   0.0697   5.3813   0.4702
  49 113 In 2   -89.370     0.003   -88.860   0.150  -0.030   0.0880   5.3951   0.5538   0.0692   5.3962   0.4688
  49 114 In 2   -88.572     0.003   -88.370   0.100  -0.040   0.0893   5.3765   0.5842   0.0688   5.4078   0.4686
  49 115 In 2   -89.537     0.004   -89.250   0.100  -0.040   0.0889   5.4304   0.5618   0.0683   5.4216   0.4677
  49 116 In 2   -88.250     0.004   -88.250   0.070  -0.010   0.0895   5.4457   0.5667   0.0680   5.4326   0.4677
  49 117 In 2   -88.945     0.006   -88.990   0.090  -0.030   0.0898   5.4649   0.5692   0.0675   5.4456   0.4668
  49 118 In 2   -87.230     0.008   -87.780   0.100  -0.010   0.0913   5.4380   0.6037   0.0672   5.4566   0.4662
  49 119 In 2   -87.704     0.008   -88.220   0.100  -0.010   0.0907   5.4993   0.5754   0.0667   5.4684   0.4657
  49 120 In 2   -85.735     0.040   -86.850   0.090   0.000   0.0910   5.5188   0.5767   0.0664   5.4805   0.4647
  49 121 In 2   -85.841     0.027   -86.780   0.080  -0.030   0.0914   5.5338   0.5802   0.0660   5.4905   0.4645
  49 122 In 2   -83.577     0.050   -84.900   0.090  -0.020   0.0918   5.5526   0.5814   0.0656   5.5021   0.4636
  49 123 In 2   -83.426     0.024   -84.790   0.070  -0.020   0.0922   5.5690   0.5835   0.0653   5.5124   0.4631
  49 124 In 2   -80.877     0.049   -82.620   0.080   0.000   0.0926   5.5875   0.5844   0.0649   5.5237   0.4622
  49 125 In 2   -80.481     0.030   -82.190   0.060  -0.010   0.0930   5.6054   0.5850   0.0646   5.5342   0.4613
  49 126 In 2   -77.813     0.040   -79.470   0.070   0.000   0.0933   5.6241   0.5853   0.0642   5.5502   0.4551
  49 127 In 2   -76.985     0.040   -77.630   0.000   0.000   0.0937   5.6434   0.5847   0.0637   5.5652   0.4551
  49 128 In 2   -74.359     0.049   -74.860   0.000   0.000   0.0934   5.6912   0.5596   0.0632   5.5802   0.4551
  49 129 In 2   -72.939     0.043   -73.760   0.000   0.000   0.0937   5.7121   0.5569   0.0627   5.5952   0.4551
  49 130 In 2   -69.890     0.039   -70.390   0.000   0.000   0.0940   5.7313   0.5546   0.0622   5.6100   0.4551
  49 131 In 2   -68.137     0.028   -69.080   0.000   0.000   0.0942   5.7555   0.5487   0.0617   5.6248   0.4551
  49 132 In 2   -62.419     0.062   -62.990   0.000   0.000   0.0948   5.7698   0.5460   0.0623   5.6084   0.4560
  49 133 In 1   -57.930     0.298   -58.430   0.000   0.000   0.0949   5.7792   0.5665   0.0618   5.6206   0.4575
  49 134 In 1   -52.024     0.401   -53.360   0.060  -0.010   0.0952   5.7935   0.5722   0.0615   5.6293   0.4593
  49 135 In 1   -47.199     0.503   -48.720   0.070  -0.010   0.0955   5.8051   0.5813   0.0612   5.6405   0.4606
  49 136 In 0                       -42.410   0.080   0.000   0.0957   5.8195   0.5876   0.0608   5.6510   0.4619
  49 137 In 0                       -37.440   0.090   0.010   0.0961   5.8310   0.5958   0.0605   5.6615   0.4632
  49 138 In 0                       -30.940   0.070  -0.010   0.0962   5.8478   0.6008   0.0601   5.6737   0.4639
  49 139 In 0                       -25.820   0.110   0.000   0.0965   5.8582   0.6088   0.0598   5.6833   0.4653
  49 140 In 0                       -19.150   0.090   0.010   0.0974   5.8464   0.6326   0.0595   5.6917   0.4668
  49 141 In 0                       -13.940   0.160   0.000   0.0969   5.8851   0.6216   0.0591   5.7056   0.4670
  49 142 In 0                        -7.270   0.160   0.000   0.0975   5.8876   0.6350   0.0588   5.7153   0.4682
  49 143 In 0                        -1.820   0.170   0.000   0.0974   5.9128   0.6333   0.0584   5.7281   0.4684
  49 144 In 0                         4.960   0.150   0.000   0.0975   5.9330   0.6360   0.0580   5.7426   0.4684
  49 145 In 0                         9.970   0.310   0.150   0.0977   5.9410   0.6441   0.0577   5.7505   0.4697
  49 146 In 0                        16.570   0.320   0.140   0.0977   5.9604   0.6468   0.0573   5.7640   0.4698
  49 147 In 0                        22.250   0.320   0.140   0.0981   5.9653   0.6573   0.0570   5.7729   0.4707
  49 148 In 0                        29.390   0.320   0.140   0.0982   5.9853   0.6589   0.0567   5.7854   0.4709
  49 149 In 0                        35.040   0.320   0.120   0.0985   5.9966   0.6645   0.0564   5.7951   0.4715
  49 150 In 0                        42.370   0.330   0.100   0.0985   6.0156   0.6664   0.0561   5.8065   0.4719
  49 151 In 0                        48.380   0.320   0.110   0.0988   6.0292   0.6705   0.0558   5.8173   0.4721
  49 152 In 0                        56.280   0.340   0.080   0.0988   6.0459   0.6734   0.0555   5.8276   0.4726
  49 153 In 0                        62.270   0.330   0.090   0.0990   6.0621   0.6758   0.0552   5.8393   0.4725
  49 154 In 0                        69.770   0.300   0.080   0.0991   6.0819   0.6763   0.0549   5.8512   0.4724
  49 155 In 0                        76.660   0.280   0.020   0.0992   6.0965   0.6795   0.0546   5.8612   0.4728
  49 156 In 0                        84.430   0.300   0.040   0.0993   6.1140   0.6813   0.0543   5.8724   0.4727
  49 157 In 0                        91.080   0.270   0.010   0.0995   6.1288   0.6842   0.0540   5.8830   0.4728
  49 158 In 0                        98.840   0.260   0.010   0.0995   6.1476   0.6846   0.0537   5.8948   0.4724
  49 159 In 0                       105.810   0.260   0.010   0.0997   6.1620   0.6877   0.0535   5.9048   0.4726
  49 160 In 0                       114.270   0.100  -0.010   0.1000   6.1823   0.6864   0.0531   5.9173   0.4718
  49 161 In 0                       120.800   0.210  -0.020   0.1000   6.1960   0.6900   0.0529   5.9268   0.4722
  49 162 In 0                       128.600   0.060  -0.010   0.0999   6.2249   0.6832   0.0526   5.9399   0.4712
  49 163 In 0                       135.570   0.080  -0.020   0.1002   6.2360   0.6874   0.0523   5.9490   0.4714
  49 164 In 0                       143.050   0.070  -0.010   0.1003   6.2534   0.6885   0.0520   5.9617   0.4705
  49 165 In 0                       150.170   0.070  -0.010   0.1004   6.2686   0.6896   0.0518   5.9715   0.4703
  50  90 Sn 0                        29.290   0.000   0.000   0.0782   4.7738   0.5325   0.0814   5.1137   0.5047
  50  91 Sn 0                        20.220   0.000   0.000   0.0755   4.8835   0.5212   0.0811   5.1228   0.5025
  50  92 Sn 0                         9.210   0.000   0.000   0.0763   4.9086   0.5215   0.0806   5.1335   0.4989
  50  93 Sn 0                         0.660   0.000   0.000   0.0770   4.9340   0.5210   0.0802   5.1446   0.4952
  50  94 Sn 0                        -9.490   0.000   0.000   0.0771   4.9858   0.4976   0.0799   5.1555   0.4917
  50  95 Sn 0                       -17.560   0.000   0.000   0.0775   5.0224   0.4892   0.0795   5.1667   0.4883
  50  96 Sn 0                       -27.020   0.000   0.000   0.0780   5.0553   0.4798   0.0787   5.1852   0.4867
  50  97 Sn 0                       -34.290   0.000   0.000   0.0787   5.0795   0.4769   0.0779   5.2032   0.4867
  50  98 Sn 0                       -43.060   0.000   0.000   0.0793   5.1038   0.4741   0.0771   5.2212   0.4867
  50  99 Sn 1   -47.199     0.596   -49.320   0.000   0.000   0.0801   5.1261   0.4712   0.0772   5.2390   0.4551
  50 100 Sn 2   -56.780     0.705   -57.270   0.000   0.000   0.0808   5.1492   0.4686   0.0764   5.2567   0.4551
  50 101 Sn 1   -59.560     0.298   -59.680   0.000   0.000   0.0817   5.1569   0.4827   0.0771   5.2292   0.4753
  50 102 Sn 2   -64.929     0.132   -64.420   0.000   0.000   0.0818   5.1907   0.4832   0.0751   5.2917   0.4551
  50 103 Sn 1   -66.974     0.298   -67.440  -0.090   0.030   0.0824   5.2054   0.4921   0.0757   5.2641   0.4733
  50 104 Sn 2   -71.592     0.104   -71.790   0.070   0.000   0.0827   5.2323   0.4945   0.0750   5.2821   0.4718
  50 105 Sn 2   -73.263     0.081   -73.120  -0.100   0.020   0.0832   5.2506   0.5003   0.0745   5.2959   0.4714
  50 106 Sn 2   -77.425     0.050   -76.800   0.090   0.000   0.0836   5.2736   0.5040   0.0739   5.3117   0.4705
  50 107 Sn 2   -78.577     0.083   -78.020  -0.100   0.010   0.0840   5.2965   0.5067   0.0733   5.3274   0.4694
  50 108 Sn 2   -82.041     0.020   -81.080   0.100   0.000   0.0845   5.3146   0.5121   0.0728   5.3405   0.4691
  50 109 Sn 2   -82.639     0.010   -81.660   0.150   0.020   0.0849   5.3352   0.5157   0.0722   5.3549   0.4684
  50 110 Sn 2   -85.844     0.014   -84.570   0.100  -0.010   0.0853   5.3546   0.5194   0.0717   5.3686   0.4678
  50 111 Sn 2   -85.945     0.007   -84.990  -0.100   0.010   0.0860   5.3658   0.5288   0.0713   5.3816   0.4675
  50 112 Sn 2   -88.661     0.004   -87.480  -0.120   0.020   0.0864   5.3866   0.5310   0.0707   5.3959   0.4664
  50 113 Sn 2   -88.333     0.004   -87.330   0.100  -0.010   0.0872   5.3906   0.5452   0.0703   5.4073   0.4666
  50 114 Sn 2   -90.561     0.003   -89.490  -0.100   0.000   0.0875   5.4116   0.5471   0.0698   5.4222   0.4652
  50 115 Sn 2   -90.036     0.003   -89.210  -0.140   0.030   0.0888   5.3950   0.5759   0.0694   5.4333   0.4651
  50 116 Sn 2   -91.528     0.003   -90.800  -0.100   0.000   0.0884   5.4463   0.5550   0.0689   5.4471   0.4641
  50 117 Sn 2   -90.400     0.003   -90.140  -0.090  -0.010   0.0889   5.4614   0.5600   0.0685   5.4579   0.4640
  50 118 Sn 2   -91.656     0.003   -91.270  -0.100   0.000   0.0893   5.4804   0.5624   0.0681   5.4706   0.4631
  50 119 Sn 2   -90.068     0.003   -90.520  -0.080  -0.010   0.0898   5.4970   0.5655   0.0677   5.4815   0.4626
  50 120 Sn 2   -91.105     0.003   -91.050  -0.110   0.000   0.0902   5.5143   0.5686   0.0673   5.4931   0.4621
  50 121 Sn 2   -89.204     0.002   -88.480   0.000   0.000   0.0905   5.5336   0.5699   0.0669   5.5050   0.4611
  50 122 Sn 2   -89.946     0.003   -90.240  -0.080   0.000   0.0910   5.5484   0.5734   0.0666   5.5149   0.4610
  50 123 Sn 2   -87.820     0.003   -88.770   0.070   0.010   0.0914   5.5670   0.5747   0.0662   5.5263   0.4601
  50 124 Sn 2   -88.237     0.001   -88.910   0.070   0.000   0.0918   5.5832   0.5768   0.0659   5.5364   0.4596
  50 125 Sn 2   -85.899     0.002   -87.020  -0.060   0.000   0.0922   5.6014   0.5777   0.0655   5.5475   0.4587
  50 126 Sn 2   -86.020     0.011   -85.990   0.000   0.000   0.0926   5.6191   0.5784   0.0652   5.5579   0.4578
  50 127 Sn 2   -83.499     0.025   -84.160   0.000   0.000   0.0929   5.6375   0.5787   0.0648   5.5691   0.4568
  50 128 Sn 2   -83.335     0.027   -83.740   0.000   0.000   0.0933   5.6567   0.5782   0.0645   5.5801   0.4556
  50 129 Sn 2   -80.594     0.029   -81.290   0.000   0.000   0.0930   5.7019   0.5553   0.0640   5.5952   0.4551
  50 130 Sn 2   -80.139     0.011   -80.520   0.000   0.000   0.0933   5.7225   0.5527   0.0635   5.6100   0.4551
  50 131 Sn 2   -77.314     0.021   -77.460   0.000   0.000   0.0937   5.7414   0.5505   0.0630   5.6248   0.4551
  50 132 Sn 2   -76.554     0.014   -76.480   0.000   0.000   0.0938   5.7674   0.5431   0.0625   5.6395   0.4551
  50 133 Sn 2   -70.953     0.036   -70.620   0.000   0.000   0.0942   5.7777   0.5514   0.0621   5.6541   0.4551
  50 134 Sn 2   -66.796     0.100   -66.350   0.000   0.000   0.0943   5.7952   0.5585   0.0616   5.6686   0.4551
  50 135 Sn 1   -60.799     0.401   -60.420   0.000   0.000   0.0948   5.8039   0.5687   0.0612   5.6831   0.4551
  50 136 Sn 1   -56.504     0.503   -55.700   0.000   0.000   0.0950   5.8197   0.5744   0.0617   5.6653   0.4567
  50 137 Sn 1   -50.310     0.596   -50.380   0.070   0.010   0.0952   5.8338   0.5809   0.0613   5.6762   0.4579
  50 138 Sn 0                       -45.800  -0.060   0.000   0.0955   5.8488   0.5867   0.0610   5.6872   0.4590
  50 139 Sn 0                       -38.460   0.000   0.000   0.0957   5.8650   0.5920   0.0606   5.6997   0.4596
  50 140 Sn 0                       -34.550   0.110   0.020   0.0960   5.8767   0.5993   0.0602   5.7098   0.4608
  50 141 Sn 0                       -28.440   0.080   0.010   0.0969   5.8631   0.6242   0.0600   5.7181   0.4624
  50 142 Sn 0                       -23.230   0.160   0.040   0.0964   5.9056   0.6107   0.0595   5.7328   0.4623
  50 143 Sn 0                       -16.820   0.190   0.030   0.0970   5.9050   0.6261   0.0592   5.7420   0.4635
  50 144 Sn 0                       -11.740   0.230   0.060   0.0968   5.9351   0.6211   0.0588   5.7557   0.4635
  50 145 Sn 0                        -5.120   0.150   0.020   0.0968   5.9552   0.6236   0.0584   5.7699   0.4635
  50 146 Sn 0                        -0.380   0.300   0.140   0.0970   5.9634   0.6317   0.0581   5.7786   0.4646
  50 147 Sn 0                         5.960   0.300   0.120   0.0971   5.9827   0.6343   0.0578   5.7917   0.4647
  50 148 Sn 0                        11.370   0.300   0.110   0.0975   5.9913   0.6420   0.0575   5.8012   0.4654
  50 149 Sn 0                        18.350   0.310   0.100   0.0976   6.0092   0.6450   0.0571   5.8133   0.4657
  50 150 Sn 0                        23.630   0.310   0.090   0.0978   6.0222   0.6496   0.0568   5.8236   0.4661
  50 151 Sn 0                        30.620   0.310   0.090   0.0980   6.0388   0.6529   0.0565   5.8346   0.4666
  50 152 Sn 0                        36.360   0.320   0.080   0.0981   6.0538   0.6560   0.0562   5.8457   0.4667
  50 153 Sn 0                        43.290   0.310   0.050   0.0980   6.0793   0.6530   0.0559   5.8581   0.4665
  50 154 Sn 0                        49.650   0.310   0.070   0.0984   6.0854   0.6619   0.0556   5.8676   0.4671
  50 155 Sn 0                        56.990   0.300   0.070   0.0986   6.1023   0.6639   0.0553   5.8783   0.4671
  50 156 Sn 0                        63.520   0.300   0.070   0.0987   6.1178   0.6667   0.0550   5.8892   0.4673
  50 157 Sn 0                        71.110   0.290   0.050   0.0988   6.1345   0.6689   0.0547   5.9000   0.4673
  50 158 Sn 0                        77.590   0.270   0.020   0.0990   6.1493   0.6716   0.0545   5.9107   0.4674
  50 159 Sn 0                        85.210   0.260   0.020   0.0992   6.1666   0.6726   0.0542   5.9218   0.4671
  50 160 Sn 0                        92.100   0.220   0.000   0.0993   6.1813   0.6754   0.0539   5.9321   0.4672
  50 161 Sn 0                        99.860  -0.100   0.030   0.0993   6.2002   0.6749   0.0535   5.9439   0.4665
  50 162 Sn 0                       106.490  -0.120   0.000   0.0996   6.2139   0.6783   0.0533   5.9533   0.4669
  50 163 Sn 0                       114.020  -0.110  -0.010   0.0994   6.2443   0.6703   0.0530   5.9660   0.4660
  50 164 Sn 0                       120.690   0.060  -0.010   0.0997   6.2551   0.6745   0.0528   5.9748   0.4663
  50 165 Sn 0                       128.060   0.070   0.000   0.0999   6.2698   0.6770   0.0525   5.9871   0.4655
  50 166 Sn 0                       134.770   0.060  -0.010   0.1001   6.2828   0.6796   0.0523   5.9966   0.4653
  50 167 Sn 0                       142.490   0.060   0.010   0.1001   6.3030   0.6779   0.0520   6.0087   0.4645
  50 168 Sn 0                       149.960   0.000   0.000   0.1002   6.3198   0.6776   0.0517   6.0191   0.4640
  50 169 Sn 0                       157.060  -0.060   0.000   0.1002   6.3398   0.6757   0.0514   6.0311   0.4631
  50 170 Sn 0                       164.410   0.000   0.000   0.1003   6.3584   0.6737   0.0511   6.0423   0.4622
  50 171 Sn 0                       172.440   0.000   0.000   0.1004   6.3778   0.6717   0.0509   6.0542   0.4613
  50 172 Sn 0                       179.220   0.000   0.000   0.1003   6.3980   0.6683   0.0506   6.0660   0.4601
  50 173 Sn 0                       187.570   0.000   0.000   0.1004   6.4172   0.6659   0.0503   6.0777   0.4591
  50 174 Sn 0                       194.400   0.000   0.000   0.1004   6.4381   0.6616   0.0500   6.0900   0.4577
  50 175 Sn 0                       203.350   0.000   0.000   0.1006   6.4559   0.6589   0.0498   6.1011   0.4566
  50 176 Sn 0                       210.150   0.000   0.000   0.1005   6.4786   0.6534   0.0495   6.1144   0.4549
  50 177 Sn 0                       219.100   0.000   0.000   0.1016   6.4539   0.6734   0.0494   6.1149   0.4552
  50 178 Sn 0                       228.000   0.000   0.000   0.1032   6.4285   0.6940   0.0495   6.1149   0.4555
  51  92 Sb 0                        32.640  -0.060   0.010   0.0784   4.8114   0.5325   0.0816   5.1403   0.5138
  51  93 Sb 0                        21.210   0.070   0.030   0.0758   4.9196   0.5222   0.0815   5.1390   0.5179
  51  94 Sb 0                        12.300   0.060   0.010   0.0765   4.9452   0.5215   0.0811   5.1509   0.5137
  51  95 Sb 0                         1.730   0.080   0.020   0.0767   4.9954   0.5002   0.0807   5.1625   0.5097
  51  96 Sb 0                        -6.360   0.080   0.030   0.0773   5.0220   0.4971   0.0803   5.1742   0.5060
  51  97 Sb 0                       -16.350   0.070   0.020   0.0776   5.0630   0.4836   0.0795   5.2032   0.4867
  51  98 Sb 0                       -23.790   0.080   0.040   0.0782   5.0895   0.4794   0.0787   5.2212   0.4867
  51  99 Sb 0                       -33.080   0.070   0.030   0.0789   5.1139   0.4765   0.0780   5.2390   0.4867
  51 100 Sb 0                       -40.030   0.060   0.020   0.0796   5.1364   0.4735   0.0773   5.2567   0.4867
  51 101 Sb 0                       -48.280  -0.060   0.010   0.0803   5.1596   0.4709   0.0765   5.2743   0.4867
  51 102 Sb 0                       -52.050   0.080   0.040   0.0812   5.1676   0.4849   0.0779   5.2392   0.4914
  51 103 Sb 1   -56.178     0.298   -57.000  -0.100   0.030   0.0812   5.2010   0.4855   0.0770   5.2616   0.4890
  51 104 Sb 1   -59.176     0.362   -59.740   0.120   0.050   0.0819   5.2158   0.4944   0.0765   5.2743   0.4890
  51 105 Sb 2   -63.820     0.105   -64.180  -0.120   0.030   0.0822   5.2426   0.4968   0.0757   5.2924   0.4874
  51 106 Sb 1   -66.330     0.313   -66.460   0.180   0.070   0.0826   5.2610   0.5025   0.0751   5.3064   0.4869
  51 107 Sb 1   -70.654     0.298   -70.440   0.180   0.060   0.0830   5.2840   0.5061   0.0745   5.3224   0.4858
  51 108 Sb 1   -72.507     0.205   -72.150   0.190   0.040   0.0834   5.3069   0.5088   0.0740   5.3382   0.4845
  51 109 Sb 2   -76.259     0.019   -75.600   0.220   0.030   0.0839   5.3250   0.5141   0.0734   5.3515   0.4841
  51 110 Sb 1   -77.544     0.200   -76.750   0.240   0.070   0.0844   5.3418   0.5203   0.0729   5.3661   0.4833
  51 111 Sb 2   -80.888     0.028   -79.860   0.240   0.030   0.0850   5.3563   0.5273   0.0724   5.3798   0.4825
  51 112 Sb 2   -81.601     0.018   -80.610   0.230   0.030   0.0857   5.3617   0.5413   0.0719   5.3931   0.4821
  51 113 Sb 2   -84.420     0.018   -83.480  -0.150   0.040   0.0861   5.3883   0.5391   0.0714   5.4074   0.4809
  51 114 Sb 2   -84.515     0.028   -84.020  -0.160   0.040   0.0871   5.3785   0.5642   0.0709   5.4190   0.4810
  51 115 Sb 2   -87.003     0.016   -86.320  -0.150   0.040   0.0870   5.4236   0.5474   0.0704   5.4338   0.4795
  51 116 Sb 2   -86.821     0.006   -86.750  -0.150   0.030   0.0897   5.3948   0.5460   0.0699   5.4466   0.4801
  51 117 Sb 2   -88.645     0.009   -88.460  -0.150   0.030   0.0878   5.4613   0.5540   0.0695   5.4611   0.4789
  51 118 Sb 2   -87.999     0.004   -88.090  -0.120   0.020   0.0883   5.4768   0.5587   0.0691   5.4723   0.4788
  51 119 Sb 2   -89.477     0.008   -89.730  -0.150   0.030   0.0895   5.4577   0.5894   0.0685   5.5011   0.4563
  51 120 Sb 2   -88.424     0.008   -88.970  -0.150   0.020   0.0900   5.4727   0.5933   0.0681   5.5118   0.4557
  51 121 Sb 2   -89.595     0.002   -89.750  -0.160   0.030   0.0893   5.5351   0.5642   0.0677   5.5103   0.4790
  51 122 Sb 2   -88.330     0.002   -89.140  -0.130   0.010   0.0896   5.5560   0.5650   0.0671   5.5392   0.4567
  51 123 Sb 2   -89.224     0.002   -89.920  -0.140   0.020   0.0901   5.5707   0.5684   0.0668   5.5490   0.4565
  51 124 Sb 2   -87.620     0.002   -88.330  -0.120   0.010   0.0905   5.5891   0.5697   0.0664   5.5603   0.4555
  51 125 Sb 2   -88.256     0.003   -88.990  -0.100   0.010   0.0910   5.6049   0.5717   0.0661   5.5702   0.4550
  51 126 Sb 2   -86.398     0.032   -87.360  -0.080   0.010   0.0913   5.6228   0.5728   0.0657   5.5811   0.4542
  51 127 Sb 2   -86.700     0.005   -87.640  -0.080   0.010   0.0917   5.6400   0.5736   0.0654   5.5912   0.4533
  51 128 Sb 2   -84.609     0.025   -85.690  -0.080   0.000   0.0921   5.6579   0.5742   0.0651   5.6021   0.4524
  51 129 Sb 2   -84.628     0.021   -85.640  -0.060   0.010   0.0919   5.7027   0.5517   0.0647   5.6128   0.4512
  51 130 Sb 2   -82.292     0.017   -82.280   0.000   0.000   0.0922   5.7215   0.5507   0.0644   5.6235   0.4502
  51 131 Sb 2   -81.988     0.021   -81.950   0.000   0.000   0.0925   5.7418   0.5481   0.0640   5.6344   0.4488
  51 132 Sb 2   -79.674     0.014   -79.310   0.000   0.000   0.0929   5.7601   0.5463   0.0637   5.6445   0.4476
  51 133 Sb 2   -78.943     0.025   -78.770   0.000   0.000   0.0931   5.7853   0.5393   0.0633   5.6541   0.4551
  51 134 Sb 2   -74.166     0.043   -73.190   0.000   0.000   0.0936   5.7920   0.5502   0.0628   5.6686   0.4551
  51 135 Sb 2   -69.708     0.103   -69.230   0.000   0.000   0.0936   5.8131   0.5545   0.0624   5.6831   0.4551
  51 136 Sb 1   -64.879     0.298   -64.830   0.080   0.050   0.0940   5.8219   0.5645   0.0619   5.6975   0.4551
  51 137 Sb 1   -60.258     0.401   -60.730  -0.080   0.030   0.0942   5.8394   0.5692   0.0615   5.7119   0.4551
  51 138 Sb 1   -55.154     0.298   -54.890   0.080   0.020   0.0945   5.8560   0.5738   0.0610   5.7261   0.4551
  51 139 Sb 1   -50.319     0.503   -50.750   0.110   0.060   0.0946   5.8706   0.5798   0.0606   5.7403   0.4551
  51 140 Sb 0                       -44.990  -0.120   0.040   0.0948   5.8874   0.5846   0.0602   5.7544   0.4551
  51 141 Sb 0                       -40.230  -0.110   0.040   0.0951   5.8996   0.5914   0.0597   5.7685   0.4551
  51 142 Sb 0                       -34.340  -0.130   0.040   0.0958   5.8969   0.6100   0.0593   5.7825   0.4551
  51 143 Sb 0                       -29.700   0.210   0.050   0.0955   5.9296   0.6019   0.0589   5.7964   0.4551
  51 144 Sb 0                       -23.910   0.220   0.100   0.0955   5.9502   0.6034   0.0585   5.8103   0.4551
  51 145 Sb 0                       -19.180   0.270   0.140   0.0958   5.9603   0.6113   0.0591   5.7898   0.4577
  51 146 Sb 0                       -13.210   0.290   0.140   0.0958   5.9800   0.6138   0.0587   5.8038   0.4577
  51 147 Sb 0                        -8.120   0.310   0.130   0.0961   5.9913   0.6199   0.0584   5.8130   0.4586
  51 148 Sb 0                        -1.950   0.280   0.120   0.0963   6.0094   0.6231   0.0580   5.8259   0.4587
